column,r_class,non_missing_n,missing_n,missing_prop,missing_percent,n_distinct,example_values,suggested_decision,reason,feature_role,notes,final_decision,final_notes
rating_diff,numeric,47314,1943,0.03944617008750025,3.94,1821,6 | -28 | 12 | -6 | -21 | -530,keep,Allowed pre-match feature.,allowed_pre_match_feature,NA,keep,Allowed pre-match feature.
away_rating_pre_match,numeric,47874,1383,0.02807722760216822,2.81,1657,1997 | 2014 | 1994 | 2003 | 2011 | 2029,keep,Allowed pre-match feature.,unknown_review_required,Not auto-classified; name suggests a pre-match field. Review before using in models.,keep,Allowed pre-match feature.
rating_age_days_away,numeric,47874,1383,0.02807722760216822,2.81,1038,98 | 364 | 343 | 2 | 383 | 301,keep,Allowed pre-match feature.,unknown_review_required,NA,keep,Allowed pre-match feature.
home_rating_pre_match,numeric,47884,1373,0.027874210772073,2.79,1640,2003 | 1986 | 2006 | 1997 | 2010 | 1990,keep,Allowed pre-match feature.,unknown_review_required,Not auto-classified; name suggests a pre-match field. Review before using in models.,keep,Allowed pre-match feature.
rating_age_days_home,numeric,47884,1373,0.027874210772073,2.79,970,98 | 364 | 21 | 345 | 362 | 322,keep,Allowed pre-match feature.,unknown_review_required,NA,keep,Allowed pre-match feature.
is_continental_qualifier,logical,49257,0,0,0,2,FALSE | TRUE,keep,Allowed pre-match feature.,unknown_review_required,Tournament or match-type flag; review for pre-match use.,keep,Allowed pre-match feature.
is_continental_tournament,logical,49257,0,0,0,2,FALSE | TRUE,keep,Allowed pre-match feature.,unknown_review_required,Tournament or match-type flag; review for pre-match use.,keep,Allowed pre-match feature.
is_friendly,logical,49257,0,0,0,2,TRUE | FALSE,keep,Allowed pre-match feature.,unknown_review_required,Tournament or match-type flag; review for pre-match use.,keep,Allowed pre-match feature.
is_world_cup,logical,49257,0,0,0,2,FALSE | TRUE,keep,Allowed pre-match feature.,unknown_review_required,Tournament or match-type flag; review for pre-match use.,keep,Allowed pre-match feature.
is_world_cup_qualifier,logical,49257,0,0,0,2,FALSE | TRUE,keep,Allowed pre-match feature.,unknown_review_required,Tournament or match-type flag; review for pre-match use.,keep,Allowed pre-match feature.
neutral,logical,49257,0,0,0,2,FALSE | TRUE,keep,Allowed pre-match feature.,allowed_pre_match_feature,NA,keep,Allowed pre-match feature.
away_team_clean,character,49257,0,0,0,321,england | scotland | wales | northern_ireland | canada | argentina,use_with_care,Known pre-match team identifier. Can improve fit but may overfit sparse teams and eras.,unknown_review_required,NA,use_with_care,Known pre-match team identifier. Can improve fit but may overfit sparse teams and eras.
city,character,49257,0,0,0,2138,Glasgow | London | Wrexham | Blackburn | Belfast | Liverpool,use_with_care,"Known pre-match location metadata. Prefer engineered location features, but allowed with care.",unknown_review_required,NA,use_with_care,"Known pre-match location metadata. Prefer engineered location features, but allowed with care."
competition,character,49257,0,0,0,198,Friendly | British Home Championship | Évence Coppée Trophy | Muratti Vase | Copa Lipton | Copa Newton,use_with_care,Known pre-match competition context. May need rare-level grouping and careful validation.,unknown_review_required,NA,use_with_care,Known pre-match competition context. May need rare-level grouping and careful validation.
country,character,49257,0,0,0,269,Scotland | England | Wales | Ireland | United States | Uruguay,use_with_care,"Known pre-match location metadata. Prefer engineered location features, but allowed with care.",unknown_review_required,NA,use_with_care,"Known pre-match location metadata. Prefer engineered location features, but allowed with care."
home_team_clean,character,49257,0,0,0,327,scotland | england | wales | northern_ireland | united_states | uruguay,use_with_care,Known pre-match team identifier. Can improve fit but may overfit sparse teams and eras.,unknown_review_required,NA,use_with_care,Known pre-match team identifier. Can improve fit but may overfit sparse teams and eras.
season,numeric,49257,0,0,0,155,1872 | 1873 | 1874 | 1875 | 1876 | 1877,use_with_care,"Known pre-match, but may create era/time shortcuts. Allowed only with chronological validation.",unknown_review_required,NA,use_with_care,"Known pre-match, but may create era/time shortcuts. Allowed only with chronological validation."
tournament,character,49257,0,0,0,198,Friendly | British Home Championship | Évence Coppée Trophy | Muratti Vase | Copa Lipton | Copa Newton,use_with_care,Known pre-match competition context. May need rare-level grouping and careful validation.,unknown_review_required,NA,use_with_care,Known pre-match competition context. May need rare-level grouping and careful validation.
date,Date,49257,0,0,0,16434,1872-11-30 | 1873-03-08 | 1874-03-07 | 1875-03-06 | 1876-03-04 | 1876-03-25,exclude_as_feature_keep_for_split,"Useful for chronological splitting/backtesting, but not as a direct model feature.",date,NA,exclude_as_feature_keep_for_split,"Useful for chronological splitting/backtesting, but not as a direct model feature."
away_rating_date,Date,47874,1383,0.02807722760216822,2.81,14405,1872-11-30 | 1873-03-08 | 1874-03-07 | 1875-03-06 | 1876-03-25 | 1877-03-03,exclude_as_feature_keep_for_audit,"Useful for validating rating freshness, but not used directly as a model feature.",unknown_review_required,Not auto-classified; name suggests a pre-match field. Review before using in models.,exclude_as_feature_keep_for_audit,"Useful for validating rating freshness, but not used directly as a model feature."
