feature_set,model_name,split,actual_class,predicted_class,n
baseline_rating,multinom,validation,H,H,3101
baseline_rating,multinom,validation,H,D,0
baseline_rating,multinom,validation,H,A,431
baseline_rating,multinom,validation,D,H,1187
baseline_rating,multinom,validation,D,D,0
baseline_rating,multinom,validation,D,A,551
baseline_rating,multinom,validation,A,H,855
baseline_rating,multinom,validation,A,D,0
baseline_rating,multinom,validation,A,A,1209
baseline_rating,multinom,test,H,H,3104
baseline_rating,multinom,test,H,D,0
baseline_rating,multinom,test,H,A,383
baseline_rating,multinom,test,D,H,1208
baseline_rating,multinom,test,D,D,0
baseline_rating,multinom,test,D,A,524
baseline_rating,multinom,test,A,H,851
baseline_rating,multinom,test,A,D,0
baseline_rating,multinom,test,A,A,1314
baseline_rating,glmnet_multinomial_ridge,validation,H,H,3127
baseline_rating,glmnet_multinomial_ridge,validation,H,D,0
baseline_rating,glmnet_multinomial_ridge,validation,H,A,405
baseline_rating,glmnet_multinomial_ridge,validation,D,H,1209
baseline_rating,glmnet_multinomial_ridge,validation,D,D,0
baseline_rating,glmnet_multinomial_ridge,validation,D,A,529
baseline_rating,glmnet_multinomial_ridge,validation,A,H,879
baseline_rating,glmnet_multinomial_ridge,validation,A,D,0
baseline_rating,glmnet_multinomial_ridge,validation,A,A,1185
baseline_rating,glmnet_multinomial_ridge,test,H,H,3133
baseline_rating,glmnet_multinomial_ridge,test,H,D,0
baseline_rating,glmnet_multinomial_ridge,test,H,A,354
baseline_rating,glmnet_multinomial_ridge,test,D,H,1227
baseline_rating,glmnet_multinomial_ridge,test,D,D,0
baseline_rating,glmnet_multinomial_ridge,test,D,A,505
baseline_rating,glmnet_multinomial_ridge,test,A,H,883
baseline_rating,glmnet_multinomial_ridge,test,A,D,0
baseline_rating,glmnet_multinomial_ridge,test,A,A,1282
baseline_rating,lightgbm,validation,H,H,3075
baseline_rating,lightgbm,validation,H,D,0
baseline_rating,lightgbm,validation,H,A,457
baseline_rating,lightgbm,validation,D,H,1166
baseline_rating,lightgbm,validation,D,D,0
baseline_rating,lightgbm,validation,D,A,572
baseline_rating,lightgbm,validation,A,H,858
baseline_rating,lightgbm,validation,A,D,0
baseline_rating,lightgbm,validation,A,A,1206
baseline_rating,lightgbm,test,H,H,3089
baseline_rating,lightgbm,test,H,D,0
baseline_rating,lightgbm,test,H,A,398
baseline_rating,lightgbm,test,D,H,1193
baseline_rating,lightgbm,test,D,D,0
baseline_rating,lightgbm,test,D,A,539
baseline_rating,lightgbm,test,A,H,844
baseline_rating,lightgbm,test,A,D,0
baseline_rating,lightgbm,test,A,A,1321
rating_plus_context,multinom,validation,H,H,3100
rating_plus_context,multinom,validation,H,D,3
rating_plus_context,multinom,validation,H,A,429
rating_plus_context,multinom,validation,D,H,1191
rating_plus_context,multinom,validation,D,D,0
rating_plus_context,multinom,validation,D,A,547
rating_plus_context,multinom,validation,A,H,872
rating_plus_context,multinom,validation,A,D,1
rating_plus_context,multinom,validation,A,A,1191
rating_plus_context,multinom,test,H,H,3131
rating_plus_context,multinom,test,H,D,1
rating_plus_context,multinom,test,H,A,355
rating_plus_context,multinom,test,D,H,1210
rating_plus_context,multinom,test,D,D,2
rating_plus_context,multinom,test,D,A,520
rating_plus_context,multinom,test,A,H,874
rating_plus_context,multinom,test,A,D,1
rating_plus_context,multinom,test,A,A,1290
rating_plus_context,glmnet_multinomial_ridge,validation,H,H,3129
rating_plus_context,glmnet_multinomial_ridge,validation,H,D,1
rating_plus_context,glmnet_multinomial_ridge,validation,H,A,402
rating_plus_context,glmnet_multinomial_ridge,validation,D,H,1216
rating_plus_context,glmnet_multinomial_ridge,validation,D,D,0
rating_plus_context,glmnet_multinomial_ridge,validation,D,A,522
rating_plus_context,glmnet_multinomial_ridge,validation,A,H,895
rating_plus_context,glmnet_multinomial_ridge,validation,A,D,0
rating_plus_context,glmnet_multinomial_ridge,validation,A,A,1169
rating_plus_context,glmnet_multinomial_ridge,test,H,H,3158
rating_plus_context,glmnet_multinomial_ridge,test,H,D,1
rating_plus_context,glmnet_multinomial_ridge,test,H,A,328
rating_plus_context,glmnet_multinomial_ridge,test,D,H,1247
rating_plus_context,glmnet_multinomial_ridge,test,D,D,0
rating_plus_context,glmnet_multinomial_ridge,test,D,A,485
rating_plus_context,glmnet_multinomial_ridge,test,A,H,907
rating_plus_context,glmnet_multinomial_ridge,test,A,D,1
rating_plus_context,glmnet_multinomial_ridge,test,A,A,1257
rating_plus_context,lightgbm,validation,H,H,3087
rating_plus_context,lightgbm,validation,H,D,3
rating_plus_context,lightgbm,validation,H,A,442
rating_plus_context,lightgbm,validation,D,H,1175
rating_plus_context,lightgbm,validation,D,D,1
rating_plus_context,lightgbm,validation,D,A,562
rating_plus_context,lightgbm,validation,A,H,844
rating_plus_context,lightgbm,validation,A,D,14
rating_plus_context,lightgbm,validation,A,A,1206
rating_plus_context,lightgbm,test,H,H,3107
rating_plus_context,lightgbm,test,H,D,2
rating_plus_context,lightgbm,test,H,A,378
rating_plus_context,lightgbm,test,D,H,1204
rating_plus_context,lightgbm,test,D,D,1
rating_plus_context,lightgbm,test,D,A,527
rating_plus_context,lightgbm,test,A,H,859
rating_plus_context,lightgbm,test,A,D,2
rating_plus_context,lightgbm,test,A,A,1304
rating_plus_form,multinom,validation,H,H,3016
rating_plus_form,multinom,validation,H,D,77
rating_plus_form,multinom,validation,H,A,439
rating_plus_form,multinom,validation,D,H,1123
rating_plus_form,multinom,validation,D,D,70
rating_plus_form,multinom,validation,D,A,545
rating_plus_form,multinom,validation,A,H,760
rating_plus_form,multinom,validation,A,D,85
rating_plus_form,multinom,validation,A,A,1219
rating_plus_form,multinom,test,H,H,3015
rating_plus_form,multinom,test,H,D,85
rating_plus_form,multinom,test,H,A,387
rating_plus_form,multinom,test,D,H,1101
rating_plus_form,multinom,test,D,D,85
rating_plus_form,multinom,test,D,A,546
rating_plus_form,multinom,test,A,H,752
rating_plus_form,multinom,test,A,D,95
rating_plus_form,multinom,test,A,A,1318
rating_plus_form,glmnet_multinomial_ridge,validation,H,H,3052
rating_plus_form,glmnet_multinomial_ridge,validation,H,D,55
rating_plus_form,glmnet_multinomial_ridge,validation,H,A,425
rating_plus_form,glmnet_multinomial_ridge,validation,D,H,1156
rating_plus_form,glmnet_multinomial_ridge,validation,D,D,47
rating_plus_form,glmnet_multinomial_ridge,validation,D,A,535
rating_plus_form,glmnet_multinomial_ridge,validation,A,H,808
rating_plus_form,glmnet_multinomial_ridge,validation,A,D,66
rating_plus_form,glmnet_multinomial_ridge,validation,A,A,1190
rating_plus_form,glmnet_multinomial_ridge,test,H,H,3052
rating_plus_form,glmnet_multinomial_ridge,test,H,D,60
rating_plus_form,glmnet_multinomial_ridge,test,H,A,375
rating_plus_form,glmnet_multinomial_ridge,test,D,H,1129
rating_plus_form,glmnet_multinomial_ridge,test,D,D,62
rating_plus_form,glmnet_multinomial_ridge,test,D,A,541
rating_plus_form,glmnet_multinomial_ridge,test,A,H,783
rating_plus_form,glmnet_multinomial_ridge,test,A,D,76
rating_plus_form,glmnet_multinomial_ridge,test,A,A,1306
rating_plus_form,lightgbm,validation,H,H,3007
rating_plus_form,lightgbm,validation,H,D,69
rating_plus_form,lightgbm,validation,H,A,456
rating_plus_form,lightgbm,validation,D,H,1120
rating_plus_form,lightgbm,validation,D,D,58
rating_plus_form,lightgbm,validation,D,A,560
rating_plus_form,lightgbm,validation,A,H,757
rating_plus_form,lightgbm,validation,A,D,72
rating_plus_form,lightgbm,validation,A,A,1235
rating_plus_form,lightgbm,test,H,H,3025
rating_plus_form,lightgbm,test,H,D,45
rating_plus_form,lightgbm,test,H,A,417
rating_plus_form,lightgbm,test,D,H,1108
rating_plus_form,lightgbm,test,D,D,58
rating_plus_form,lightgbm,test,D,A,566
rating_plus_form,lightgbm,test,A,H,760
rating_plus_form,lightgbm,test,A,D,40
rating_plus_form,lightgbm,test,A,A,1365
rating_plus_form_plus_goalscorers,multinom,validation,H,H,3017
rating_plus_form_plus_goalscorers,multinom,validation,H,D,83
rating_plus_form_plus_goalscorers,multinom,validation,H,A,432
rating_plus_form_plus_goalscorers,multinom,validation,D,H,1118
rating_plus_form_plus_goalscorers,multinom,validation,D,D,80
rating_plus_form_plus_goalscorers,multinom,validation,D,A,540
rating_plus_form_plus_goalscorers,multinom,validation,A,H,764
rating_plus_form_plus_goalscorers,multinom,validation,A,D,85
rating_plus_form_plus_goalscorers,multinom,validation,A,A,1215
rating_plus_form_plus_goalscorers,multinom,test,H,H,3012
rating_plus_form_plus_goalscorers,multinom,test,H,D,83
rating_plus_form_plus_goalscorers,multinom,test,H,A,392
rating_plus_form_plus_goalscorers,multinom,test,D,H,1094
rating_plus_form_plus_goalscorers,multinom,test,D,D,89
rating_plus_form_plus_goalscorers,multinom,test,D,A,549
rating_plus_form_plus_goalscorers,multinom,test,A,H,752
rating_plus_form_plus_goalscorers,multinom,test,A,D,99
rating_plus_form_plus_goalscorers,multinom,test,A,A,1314
rating_plus_form_plus_goalscorers,glmnet_multinomial_ridge,validation,H,H,3058
rating_plus_form_plus_goalscorers,glmnet_multinomial_ridge,validation,H,D,54
rating_plus_form_plus_goalscorers,glmnet_multinomial_ridge,validation,H,A,420
rating_plus_form_plus_goalscorers,glmnet_multinomial_ridge,validation,D,H,1153
rating_plus_form_plus_goalscorers,glmnet_multinomial_ridge,validation,D,D,47
rating_plus_form_plus_goalscorers,glmnet_multinomial_ridge,validation,D,A,538
rating_plus_form_plus_goalscorers,glmnet_multinomial_ridge,validation,A,H,807
rating_plus_form_plus_goalscorers,glmnet_multinomial_ridge,validation,A,D,69
