model_id,source_script,model_family,feature_set,cohort_note,validation_log_loss,test_log_loss,accuracy,macro_f1,delta_validation_log_loss_vs_best_same_cohort,interpretability,complexity_level,selected_by_metric,preferred_portfolio_final,recommendation,rationale
m28_lightgbm_safe_plus_form_compact,src/28_model_with_lagged_form.R; src/31_final_results_visualization.R,lightgbm,safe_plus_form_compact,Model 28 cohort: with_form table; rating freshness <=730d; >=5 prior matches; val n=7366 test n=7561,0.8930908332850942,0.8728460776947174,0.5950271128157651,0.43741126579979545,0,low-medium,high,TRUE,TRUE,portfolio_final,Best validation log loss on Model 28 cohort; script 31 portfolio selection; marginal ~0.002 gain over multinom on same cohort
m28_multinom_safe_plus_form_compact,src/28_model_with_lagged_form.R,multinom,safe_plus_form_compact,Model 28 cohort (same as m28_lightgbm),0.894851509521105,0.8707373305885608,0.5991270995900013,0.44039117840798186,0.0017606762359108,high,medium,FALSE,FALSE,same_cohort_challenger,Within 0.005 validation log loss of best same-cohort model; better test log loss than LightGBM in artifacts; defensible if interpretability prioritized
m30_lightgbm_rating_plus_form,src/30_model_with_goalscorer_features.R; src/32_finalize_international_modeling_project.R,lightgbm,rating_plus_form,Model 30 fair-comparison cohort on with_form_and_goalscorers table; val n=7334 test n=7384,0.8888414893516045,0.8696477798767818,0.6023835319609967,0.4629142765914528,NA,low-medium,high,TRUE,FALSE,tier_robustness,Lowest validation log loss among saved tier experiments but different cohort and table than Model 28; do not rank against portfolio final without harmonization
m30_multinom_rating_plus_form,src/30_model_with_goalscorer_features.R,multinom,rating_plus_form,Model 30 fair-comparison cohort (same as m30_lightgbm),0.890798930444251,0.8697689023081864,0.5983206933911159,0.4679238334144553,NA,high,medium,FALSE,FALSE,tier_interpretable_alternative,Strong test macro F1 on Model 30 cohort; not same cohort as portfolio final
m19_rating_diff_neutral_multinom,src/19_baseline.R,multinom,rating_diff_neutral,baseline_model_comparison cohort; base modeling table; val n=7931 test n=7661,0.8932956938216583,0.8706365713352056,0.5995300874559457,0.4394576291863504,NA,highest,low,FALSE,FALSE,baseline_reference,Different cohort than Model 28; competitive test log loss; use for communication not same-cohort winner
m19_rating_diff_multinom,src/19_baseline.R,multinom,rating_diff,baseline_model_comparison cohort; val n=7931 test n=7661,0.8996383141760292,0.8765734160707854,0.5944393682286908,0.433969593860047,NA,high,low,FALSE,FALSE,baseline_reference,Weaker than neutral Elo variant; different cohort than Model 28
m24_lightgbm_safe_features,src/24_model_glm_lightgbm_approved_features.R,lightgbm,approved_safe_pre_match,Model 24 complete-case cohort; val n=7615 test n=7562,0.8934398018313399,0.8741575819111138,0.5949484263422375,0.4356705148207604,NA,low-medium,high,FALSE,FALSE,staging_reference,No form tier; effectively tied with Model 26/28 staging on validation; superseded by Model 28 compact form
m26_lightgbm_draw_abs_only,src/26_model_draw_aware_features.R,lightgbm,draw_abs_only,Model 26 cohort; val n=7615 test n=7562,0.8934086472177162,0.8743237826904741,0.5942872256016927,0.43523975142680255,NA,low-medium,high,FALSE,FALSE,staging_reference,Draw-aware Elo transforms did not materially improve validation log loss vs Model 24
m21_draw_aware_quadratic_multinom,src/21_baseline_plus_draw_features.R,multinom,draw_aware_quadratic_elo,baseline_plus cohort; val n=7349 test n=7384,0.8925895119601893,0.8718854549396733,0.5973726977248104,0.4381089456466341,NA,high,low,FALSE,FALSE,baseline_plus_reference,Near Model 30 cohort size but different table and features; not Model 28 selection pool
m30_lightgbm_rating_plus_form_plus_goalscorers,src/30_model_with_goalscorer_features.R,lightgbm,rating_plus_form_plus_goalscorers,Model 30 fair-comparison cohort; val n=7334 test n=7384,0.8889012872133647,0.8698176831874401,0.602112676056338,0.46248803423096735,NA,low-medium,high,FALSE,FALSE,tier_robustness,Goalscorer tier did not beat rating_plus_form on validation (marginal +6e-5 log loss)
m28_glmnet_safe_plus_form_compact,src/28_model_with_lagged_form.R,glmnet_multinomial_ridge,safe_plus_form_compact,Model 28 cohort (same as m28_lightgbm),0.8960190443742287,0.8729804319183921,0.5962174315566724,0.43636955279834816,0.0029282109331345,medium,medium,FALSE,FALSE,same_cohort_alternative,Within 0.005 of best same-cohort validation but less interpretable than multinom for similar performance
